	Dilluns	Dimarts	Dimecr	Dijous	Divend
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	LP 11L	PR 31L	LP 11L	
9h	IA 11L	  -  	LP 11L	PR 31L	LP 11L	
10h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
11h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
12h	PR 31L	  -  	  -  	  -  	  -  	
13h	PR 31L	  -  	  -  	  -  	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	PR 21L	G 11L	  -  	
9h	IA 11L	G 11L	PR 21L	G 11L	  -  	
10h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
11h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
12h	  -  	PR 21L	  -  	  -  	  -  	
13h	  -  	PR 21L	  -  	  -  	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	  -  	PA 23L	  -  	
9h	IA 11L	  -  	  -  	PA 23L	  -  	
10h	PA 23L	IA 11L	A 11L	A 11L	  -  	
11h	PA 23L	IA 11L	A 11L	A 11L	  -  	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	  -  	G 11L	  -  	
9h	IA 11L	G 11L	  -  	G 11L	  -  	
10h	PR 13L	IA 11L	A 11L	A 11L	PR 13L	
11h	PR 13L	IA 11L	A 11L	A 11L	PR 13L	
12h	TC 11L	  -  	  -  	TC 11L	  -  	
13h	TC 11L	  -  	  -  	TC 11L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	  -  	G 11L	  -  	
9h	IA 11L	G 11L	  -  	G 11L	  -  	
10h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
11h	TC 12L	IA 11L	A 12L	TC 12L	A 12L	
12h	  -  	PR 23L	  -  	PR 23L	  -  	
13h	  -  	PR 23L	  -  	PR 23L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	  -  	G 11L	  -  	
9h	IA 11L	G 11L	  -  	G 11L	  -  	
10h	PR 11L	IA 11L	A 12L	PR 11L	A 12L	
11h	PR 11L	IA 11L	A 12L	PR 11L	A 12L	
12h	TC 11L	  -  	  -  	TC 11L	  -  	
13h	TC 11L	  -  	  -  	TC 11L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	  -  	PA 23L	  -  	
9h	IA 11L	  -  	  -  	PA 23L	  -  	
10h	PA 23L	IA 11L	A 12L	  -  	A 12L	
11h	PA 23L	IA 11L	A 12L	  -  	A 12L	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	LP 11L	  -  	LP 11L	
9h	IA 11L	  -  	LP 11L	  -  	LP 11L	
10h	  -  	IA 11L	A 12L	  -  	A 12L	
11h	  -  	IA 11L	A 12L	  -  	A 12L	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	PR 21L	PA 23L	  -  	
9h	IA 11L	  -  	PR 21L	PA 23L	  -  	
10h	PA 23L	IA 11L	A 12L	  -  	A 12L	
11h	PA 23L	IA 11L	A 12L	  -  	A 12L	
12h	TC 11L	PR 21L	  -  	TC 11L	  -  	
13h	TC 11L	PR 21L	  -  	TC 11L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	  -  	  -  	LP 11L	  -  	LP 11L	
9h	IA 13L	  -  	LP 11L	  -  	LP 11L	
10h	  -  	IA 13L	A 12L	IA 13L	A 12L	
11h	  -  	IA 13L	A 12L	  -  	A 12L	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	  -  	G 11L	  -  	G 11L	  -  	
9h	IA 13L	G 11L	  -  	G 11L	  -  	
10h	  -  	IA 13L	A 12L	IA 13L	A 12L	
11h	  -  	IA 13L	A 12L	  -  	A 12L	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	  -  	LP 11L	  -  	LP 11L	
9h	IA 11L	  -  	LP 11L	  -  	LP 11L	
10h	  -  	IA 11L	A 11L	A 11L	  -  	
11h	  -  	IA 11L	A 11L	A 11L	  -  	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	  -  	G 11L	  -  	
9h	IA 11L	G 11L	  -  	G 11L	  -  	
10h	  -  	IA 11L	A 11L	A 11L	  -  	
11h	  -  	IA 11L	A 11L	A 11L	  -  	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	  -  	G 11L	PR 21L	G 11L	  -  	
9h	IA 13L	G 11L	PR 21L	G 11L	  -  	
10h	  -  	IA 13L	A 12L	IA 13L	A 12L	
11h	  -  	IA 13L	A 12L	  -  	A 12L	
12h	TC 11L	PR 21L	  -  	TC 11L	  -  	
13h	TC 11L	PR 21L	  -  	TC 11L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	  -  	G 11L	  -  	
9h	IA 11L	G 11L	  -  	G 11L	  -  	
10h	  -  	IA 11L	A 12L	  -  	A 12L	
11h	  -  	IA 11L	A 12L	  -  	A 12L	
12h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
13h	TC 11L	PR 22L	  -  	TC 11L	PR 22L	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

	Dilluns	Dimarts	Dimecr	Dijous	Divend
8h	IA 11L	G 11L	PR 21L	G 11L	  -  	
9h	IA 11L	G 11L	PR 21L	G 11L	  -  	
10h	  -  	IA 11L	A 12L	  -  	A 12L	
11h	  -  	IA 11L	A 12L	  -  	A 12L	
12h	TC 11L	PR 21L	  -  	TC 11L	  -  	
13h	TC 11L	PR 21L	  -  	TC 11L	  -  	
14h	  -  	  -  	  -  	  -  	  -  	
15h	  -  	  -  	  -  	  -  	  -  	
16h	  -  	  -  	  -  	  -  	  -  	
17h	  -  	  -  	  -  	  -  	  -  	
18h	  -  	  -  	  -  	  -  	  -  	
19h	  -  	  -  	  -  	  -  	  -  	
20h	  -  	  -  	  -  	  -  	  -  	

